01	OK	chars=54	pics=1	min_font=12.5	bottom=7.17	
02	OK	chars=255	pics=0	min_font=10.5	bottom=7.36	
03	OK	chars=88	pics=0	min_font=14.5	bottom=7.5	
04	OK	chars=262	pics=0	min_font=10.5	bottom=7.36	
05	OK	chars=194	pics=1	min_font=10.5	bottom=7.36	
06	OK	chars=34	pics=1	min_font=13.5	bottom=7.5	
07	OK	chars=311	pics=0	min_font=10.5	bottom=7.36	
08	OK	chars=85	pics=0	min_font=14.5	bottom=7.5	
09	OK	chars=23	pics=1	min_font=13.5	bottom=7.5	
10	OK	chars=260	pics=1	min_font=10.5	bottom=7.36	
11	OK	chars=333	pics=0	min_font=10.5	bottom=7.36	
12	OK	chars=24	pics=1	min_font=13.5	bottom=7.5	
13	OK	chars=217	pics=1	min_font=10.5	bottom=7.36	
14	OK	chars=254	pics=0	min_font=10.5	bottom=7.36	
15	OK	chars=20	pics=1	min_font=13.5	bottom=7.5	
16	OK	chars=200	pics=1	min_font=10.5	bottom=7.36	
17	OK	chars=60	pics=0	min_font=14.5	bottom=7.5	
18	OK	chars=25	pics=1	min_font=13.5	bottom=7.5	
19	OK	chars=23	pics=1	min_font=13.5	bottom=7.5	
20	OK	chars=288	pics=0	min_font=10.5	bottom=7.36	
21	OK	chars=274	pics=0	min_font=10.5	bottom=7.36	
22	OK	chars=221	pics=0	min_font=10.5	bottom=7.36	
23	OK	chars=25	pics=1	min_font=13.5	bottom=7.5	
24	OK	chars=196	pics=1	min_font=10.5	bottom=7.36	
25	OK	chars=237	pics=0	min_font=10.5	bottom=7.36	
26	OK	chars=159	pics=0	min_font=13.2	bottom=6.42	

图片重复检查：
唯一图片=6，总图片=13
